〆	sime
怠	okota
急	kyuu
性	saga
性	sei
性	syou
怪	aya
怪	kai
怯	obie
恂	makoto
恋	koi
恋	ren
恐	kowa
恐	osore
恒	hisasi
恒	kou
恒	tune
恒	wataru
恕	zyo
恢	hiro
恣	hosiimama
恥	hazi
恥	yasa
恩	megumi
恩	on
恪	kaku
恪	tutomu
恭	kyou
恭	takasi
恭	yasusi
息	iki
息	soku
恵	aya
恵	kei
恵	megu
恵	megumi
恵	megumu
恵	satosi
悌	tei
悌	yasusi
悍	ozo
悖	moto
悟	sato
悟	satori
悟	satoru
悟	satosi
悠	haruka
悠	hirosi
悠	hisasi
悠	sinobu
悠	too
悠	yuu
悦	etu
悪	aku
悪	niku
悪	waru
悳	toku
悴	segare
悶	modae
悶	mon
情	makoto
情	nasake
情	zyou
惇	atu
惇	atusi
惇	makoto
惇	ton
惇	tutomu
惇	zyun
惟	yui
惠	megumi
惠	megumu
惡	waru
惣	miti
惣	nobu
惣	sou
惨	mugo
想	sou
惺	satosi
惺	sei
愁	syuu
愈	iyoiyo
愉	satosi
意	i
愚	gu
愛	ai
愛	mana
愛	megumi
愛	megumu
愛	tika
感	kan
愼	makoto
愼	takasi
愿	sunao
慈	megu
慈	megumi
慈	sigeru
態	tai
慎	maki
慎	makoto
慎	sin
慎	takasi
慝	waru
慧	kei
慧	satosi
慧	tosi
慮	omonbaka
慮	omonpaka
慶	kei
慶	yosi
慾	yoku
憂	u
憂	yuu
憎	niku
憐	ren
憤	ikidoo
憩	ikoi
憲	akira
憲	ken
憲	takasi
懇	kon
懈	daru
懈	tayu
懋	tutomu
懐	hutokoro
懶	monogusa
懶	monou
懸	agata
懸	kaka
懿	atusi
戈	hoko
戈	ka
戊	bo
戊	tutinoe
戌	inu
戎	ebisu
戎	kai
成	akira
成	na
成	nari
成	naru
成	sei
成	sigeru
成	zyou
我	ga
我	waga
我	ware
或	aru
戦	ikusa
戦	sen
戴	dai
戸	ko
戸	to
戻	modo
房	bou
房	husa
所	syo
所	tokoro
所	zyo
扇	oogi
扇	ougi
扇	sen
扉	tobira
手	syu
手	te
才	sai
打	da
打	uti
払	barai
托	taku
扮	hun
承	uketamawa
技	gi
技	waza
抉	egu
抉	kuzi
把	ba
把	pa
把	wa
抑	somosomo
抓	tume
抓	tune
投	tou
抗	kou
折	ori
抛	hou
択	taku
押	osae
担	tan
拇	oyayubi
拍	baku
拍	haku
拍	paku
拓	hiraku
拓	hiromu
拓	hirosi
拓	taku
拓	tubuse
拗	nezi
拗	sune
拘	kakawa
拘	kodawa
拙	mazu
拙	tutana
拝	hai
拠	yoridokoro
拡	hiromu
拡	hirosi
括	kubi
括	kuku
拳	ken
拳	kobusi
拵	kosirae
拾	zitu
持	zi
指	sasi
指	yubi
挙	age
挙	kyo
挟	kyou
振	bu
振	hu
挺	tei
捕	to
捗	hakado
捧	sasage
捩	mozi
捩	nezi
捩	suzi
捩	yozi
捲	maku
捲	meku
捷	haya
捷	masaru
捷	syou
捷	tosi
捻	hine
捻	nezi
掌	tanagokoro
掌	tenohira
排	hai
掘	ho
掛	kaka
掛	kake
掟	okite
掟	utti
掠	kasu
採	to
探	sagu
接	set
控	hikae
掬	kiku
掾	zyou
揃	soroi
提	hisage
提	tutumi
揚	aga
揚	age
揚	you
握	nigi
揺	you
揺	yu
揺	yura
損	son
損	zon
携	sugaru
搾	sibo
摂	setu
摂	to
摩	ma
摺	suri
撃	geki
撓	siwa
撚	hine
撚	yo
撥	bati
撮	to
撰	sen
撲	nagu
擁	you
擂	su
操	aya
操	masao
操	misao
操	misawo
擒	toriko
擦	kosu
擦	nasu
擦	su
擽	kusugu
攝	kane
攝	osamu
支	sasoo
收	osamu
改	arata
改	aratame
攻	osamu
攻	susumu
放	ho
放	hou
政	masa
政	masaru
政	masasi
政	maturigoto
政	sei
政	tukasa
故	huru
故	ko
故	yue
效	tutomu
敍	noburu
敏	bin
敏	haya
敏	min
敏	sato
敏	satoru
敏	satosi
敏	tosi
敗	bai
敗	hai
敗	pai
教	kyou
教	osie
敝	takasi
敞	takasi
敢	isamu
敢	susumu
敢	tuyosi
散	ti
敦	atu
敦	atusi
敦	osamu
敦	tan
敦	ton
敦	tutomu
敬	hirosi
敬	kei
敬	satosi
敬	takasi
敬	yuki
数	kazu
数	suu
